City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Isangel,VU,2022-12-20 00:04:08,-19.55,169.2667,85.17,64,18,4.61
108,Tselinnoye,RU,2022-12-20 00:04:08,53.0833,85.6667,24.57,94,100,19.24
109,Avarua,CK,2022-12-20 00:04:09,-21.2078,-159.775,80.65,83,75,3.44
110,Puerto Ayora,EC,2022-12-20 00:04:09,-0.7393,-90.3518,72.55,93,51,1.01
111,Tura,IN,2022-12-20 00:04:10,25.5198,90.2201,58.01,82,72,2.71
112,Muisne,EC,2022-12-20 00:04:10,0.6,-80.0333,74.89,80,45,5.17
113,Severomorsk,RU,2022-12-20 00:04:11,69.0689,33.4162,19.8,96,99,7.54
114,San Cristobal,VE,2022-12-20 00:01:15,7.7669,-72.225,65.37,90,91,0.69
115,Maniitsoq,GL,2022-12-20 00:04:11,65.4167,-52.9,26.38,50,10,6.24
116,Tessalit,ML,2022-12-20 00:04:12,20.1986,1.0114,66.49,20,0,8.48
117,Port Hardy,CA,2022-12-20 00:04:12,50.6996,-127.4199,25.18,57,6,15.55
118,Plettenberg Bay,ZA,2022-12-20 00:04:13,-34.0527,23.3716,61.7,81,88,8.57
119,Lago Da Pedra,BR,2022-12-20 00:04:13,-4.3333,-45.1667,76.12,84,85,4.07
120,Ribeira Grande,PT,2022-12-20 00:04:14,38.5167,-28.7,63.77,88,76,17.0
121,Kapit,MY,2022-12-20 00:04:14,2.0167,112.9333,74.73,97,100,1.05
122,Esperance,AU,2022-12-20 00:04:14,-33.8667,121.9,65.23,65,28,3.6
123,Dungarpur,IN,2022-12-20 00:04:15,23.8333,73.7167,62.62,24,34,5.7
124,Porto Novo,BJ,2022-12-20 00:04:15,6.4965,2.6036,77.59,79,62,3.94
125,Saveh,IR,2022-12-20 00:04:16,35.0213,50.3566,43.74,60,6,1.12
126,Qui Nhon,VN,2022-12-20 00:02:19,13.7667,109.2333,69.94,84,100,11.68
127,Agirish,RU,2022-12-20 00:04:16,61.9247,63.0231,12.18,95,100,6.42
128,Taksimo,RU,2022-12-20 00:03:48,56.3444,114.8794,-14.93,97,100,0.94
129,Asau,RO,2022-12-20 00:04:17,46.4333,26.4,20.32,55,1,4.18
130,Gat,IL,2022-12-19 23:59:54,31.61,34.7642,60.4,56,12,5.88
131,Cidreira,BR,2022-12-20 00:04:18,-30.1811,-50.2056,68.85,86,100,22.1
132,Morondava,MG,2022-12-20 00:04:18,-20.2833,44.2833,80.74,78,71,9.46
133,Chapais,CA,2022-12-19 23:58:15,49.7834,-74.8492,20.98,98,99,3.98
134,Okoneshnikovo,RU,2022-12-20 00:04:19,54.8377,75.0834,29.35,85,100,16.42
135,Tilichiki,RU,2022-12-20 00:04:19,60.4667,166.1,31.26,98,100,9.06
136,San Quintin,MX,2022-12-20 00:04:20,30.4833,-115.95,61.23,57,1,12.55
137,Umm Lajj,SA,2022-12-20 00:04:20,25.0213,37.2685,76.5,42,6,6.73
138,Tuatapere,NZ,2022-12-20 00:00:01,-46.1333,167.6833,51.19,83,100,5.01
139,Sept-Iles,CA,2022-12-19 23:58:15,50.2001,-66.3821,36.12,72,100,11.5
140,Pokhara,NP,2022-12-20 00:04:21,28.2333,83.9833,53.74,53,6,4.9
141,Yellowknife,CA,2022-12-19 23:58:26,62.456,-114.3525,-21.44,69,75,2.3
142,Saldanha,ZA,2022-12-19 23:56:57,-33.0117,17.9442,60.85,82,52,19.95
143,Boa Vista,BR,2022-12-20 00:03:20,2.8197,-60.6733,79.7,68,98,5.59
144,Arraial Do Cabo,BR,2022-12-20 00:05:22,-22.9661,-42.0278,71.94,93,100,21.5
145,Lilongwe,MW,2022-12-20 00:05:23,-13.9669,33.7873,67.35,84,100,1.14
146,Hay River,CA,2022-12-20 00:01:34,60.8156,-115.7999,-22.4,97,82,4.81
147,Joshimath,IN,2022-12-20 00:05:23,30.5667,79.5667,45.37,14,63,7.81
148,Iqaluit,CA,2022-12-20 00:05:24,63.7506,-68.5145,9.88,92,100,9.31
149,Isernia,IT,2022-12-20 00:05:24,41.6002,14.2382,36.54,68,19,1.74
150,Dehloran,IR,2022-12-20 00:05:24,32.6941,47.2679,60.42,38,0,1.9
151,Hilo,US,2022-12-20 00:00:16,19.7297,-155.09,77.25,88,100,4.61
152,Mujiayingzi,CN,2022-12-20 00:05:25,42.1167,118.7833,13.93,54,85,6.04
153,East London,ZA,2022-12-19 23:59:58,-33.0153,27.9116,66.25,76,97,16.98
154,Cehegin,ES,2022-12-20 00:05:26,38.0924,-1.7985,46.45,81,72,2.13
155,Pisco,PE,2022-12-20 00:05:26,-13.7,-76.2167,69.85,88,0,18.41
156,Lompoc,US,2022-12-20 00:00:05,34.6391,-120.4579,59.52,65,92,4.0
157,Los Llanos De Aridane,ES,2022-12-20 00:05:27,28.6585,-17.9182,60.55,51,0,7.0
158,Mehran,IR,2022-12-20 00:05:27,33.1222,46.1646,58.89,42,0,3.36
159,Kawalu,ID,2022-12-20 00:05:28,-7.3817,108.2082,75.94,88,45,0.76
160,Colombia,CU,2022-12-20 00:05:28,20.9881,-77.4297,74.23,79,6,11.41
161,Dodoma,TZ,2022-12-20 00:05:29,-6.1722,35.7395,70.29,70,100,2.17
